code,brand,fund_id,name
0000D0,TIGER,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성)
0000H0,KODEX,0000H0,KODEX 인도Nifty미드캡100
0000J0,PLUS,006380,PLUS 한화그룹주
0000Z0,RISE,44I0,RISE 바이오TOP10액티브
0005A0,KODEX,0005A0,KODEX 미국S&P500데일리커버드콜OTM
0005C0,RISE,44H9,RISE 미국S&P500엔화노출
0005D0,SOL,211079,SOL 전고체배터리&실리콘음극재
0007F0,KODEX,0007F0,KODEX 27-12 회사채(AA-이상)액티브
0007G0,PLUS,006379,PLUS 글로벌원자력밸류체인
0008E0,ACE,K55101EH5038,ACE 미국중심중소형제조업
0008S0,TIGER,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜
0008T0,SOL,211080,SOL 화장품TOP3플러스
0013P0,RISE,44I2,RISE 미국은행TOP10
0013R0,RISE,44I1,RISE 테슬라미국채타겟커버드콜혼합(합성)
0015K0,TIGER,0015K0,TIGER 미국소비트렌드액티브
0016X0,SOL,211082,SOL 중단기회사채(A-이상)액티브
0018C0,PLUS,006382,PLUS 고배당주위클리고정커버드콜
0018Z0,RISE,44I3,RISE 미국양자컴퓨팅
0019K0,TIME,10,미국나스닥100채권혼합50액티브
0022T0,SOL,211077,SOL 국제금커버드콜액티브
0023A0,SOL,211084,SOL 미국양자컴퓨팅TOP10
0023B0,PLUS,006383,PLUS 미국양자컴퓨팅TOP10
0025N0,TIGER,0025N0,TIGER TDF2045 적격
0026E0,KODEX,0026E0,KODEX 미국S&P500 버퍼 3월 액티브
0028X0,KODEX,0028X0,KODEX 미국금융테크액티브
0035T0,PLUS,006384,PLUS 글로벌휴머노이드로봇액티브
0036R0,RISE,44I5,RISE 미국휴머노이드로봇
0036Z0,RISE,44I4,RISE 미국천연가스밸류체인
0038A0,KODEX,0038A0,KODEX 미국휴머노이드로봇
0040X0,SOL,211089,SOL 팔란티어미국채커버드콜혼합
0040Y0,SOL,211088,SOL 팔란티어커버드콜OTM채권혼합
0041D0,KODEX,0041D0,KODEX 미국AI소프트웨어TOP10
0041E0,KODEX,0041E0,KODEX 미국S&P500액티브
0043B0,TIGER,0043B0,TIGER 머니마켓액티브
0043Y0,TIME,19,TIME 차이나AI테크액티브
0046A0,TIGER,0046A0,TIGER 미국초단기(3개월이하)국채
0046Y0,ACE,K55101EK7278,ACE 미국배당퀄리티
0047A0,TIGER,0047A0,TIGER 차이나테크TOP10
0047N0,PLUS,006386,PLUS 차이나AI테크TOP10
0047P0,RISE,44I6,RISE 테슬라고정테크100
0047R0,RISE,44I7,RISE 팔란티어고정테크100
0048J0,KODEX,0048J0,KODEX 미국머니마켓액티브
0048K0,KODEX,0048K0,KODEX 차이나휴머노이드로봇
0049K0,ACE,K55101EK7294,ACE 미국배당퀄리티채권혼합50
0049M0,ACE,K55101EK7344,ACE 미국배당퀄리티+커버드콜액티브
0050E0,PLUS,006385,PLUS 미국AI에이전트
0051G0,SOL,211091,SOL 미국원자력SMR
0052D0,TIGER,0052D0,TIGER 코리아배당다우존스
0053L0,TIGER,0053L0,TIGER 차이나휴머노이드로봇
0057H0,PLUS,006387,PLUS 미국S&P500미국채혼합50액티브
0060H0,TIGER,0060H0,TIGER 토탈월드스탁액티브
0061Z0,RISE,44I8,RISE 단기특수은행채액티브
0065G0,KODEX,0065G0,KODEX 차이나테크TOP10
0066W0,SOL,211092,SOL 국제금
0067V0,TIGER,0067V0,TIGER 차이나글로벌리더스TOP3+
0067Y0,TIGER,0067Y0,TIGER 차이나AI소프트웨어
0068M0,KODEX,0068M0,KODEX 미국S&P500 버퍼 6월 액티브
0072R0,TIGER,0072R0,TIGER KRX금현물
0078V0,PLUS,006388,PLUS 미국로보택시
0079X0,ACE,K55101EJ7669,ACE BYD밸류체인액티브
0080G0,KODEX,0080G0,KODEX 방산TOP10
0080X0,SOL,211093,SOL 미국S&P500미국채혼합50
