year,month,code,name,record_date,payment_date,amount,tax_basis
2026,8,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),2026-08-31,2026-09-02,91,0
2026,8,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,2026-08-14,2026-08-19,103,103
2026,8,0046A0,TIGER 미국초단기(3개월이하)국채,2026-08-31,2026-09-02,26,0
2026,8,0052D0,TIGER 코리아배당다우존스,2026-08-14,2026-08-19,61,61
2026,8,0086B0,TIGER 리츠부동산인프라TOP10액티브,2026-08-14,2026-08-19,54,54
2026,8,0086C0,TIGER 리츠부동산인프라10채권혼합액티브,2026-08-14,2026-08-19,28,28
2026,8,0104N0,TIGER 200타겟위클리커버드콜,2026-08-14,2026-08-19,112,10
2026,8,0104P0,TIGER 코리아배당다우존스위클리커버드콜,2026-08-31,2026-09-02,109,45
2026,8,0177R0,TIGER 반도체TOP10커버드콜액티브,2026-08-14,2026-08-19,151,0
2026,8,166400,TIGER 200 커버드콜OTM,2026-08-31,2026-09-02,94,71
2026,8,182480,TIGER 미국MSCI리츠(합성 H),2026-08-31,2026-09-02,20,20
2026,8,245340,TIGER 미국다우존스30,2026-08-31,2026-09-02,35,35
2026,8,289480,TIGER 200 커버드콜,2026-08-31,2026-09-02,88,5
2026,8,329200,TIGER 리츠부동산인프라,2026-08-31,2026-09-02,33,33
2026,8,341850,TIGER 리츠부동산인프라채권,2026-08-31,2026-09-02,24,24
2026,8,429000,TIGER 미국S&P500배당귀족,2026-08-31,2026-09-02,20,20
2026,8,440340,TIGER 글로벌멀티에셋TIF액티브,2026-08-31,2026-09-02,46,46
2026,8,441680,TIGER 미국나스닥100커버드콜(합성),2026-08-31,2026-09-02,108,108
2026,8,458260,TIGER 미국투자등급회사채액티브(H),2026-08-31,2026-09-02,175,0
2026,8,458730,TIGER 미국배당다우존스,2026-08-31,2026-09-02,30,30
2026,8,458750,TIGER 미국배당다우존스타겟커버드콜1호,2026-08-14,2026-08-19,60,60
2026,8,458760,TIGER 미국배당다우존스타겟커버드콜2호,2026-08-31,2026-09-02,90,90
2026,8,465670,TIGER 미국캐시카우100,2026-08-31,2026-09-02,17,17
2026,8,466940,TIGER 은행고배당플러스TOP10,2026-08-31,2026-09-02,100,100
2026,8,472150,TIGER 배당커버드콜액티브,2026-08-31,2026-09-02,413,6
2026,8,474220,TIGER 미국테크TOP10타겟커버드콜,2026-08-14,2026-08-19,130,130
2026,8,476550,TIGER 미국30년국채커버드콜액티브(H),2026-08-31,2026-09-02,69,0
2026,8,476690,TIGER 글로벌비만치료제TOP2 Plus,2026-08-31,2026-09-02,11,11
2026,8,482730,TIGER 미국S&P500타겟데일리커버드콜,2026-08-31,2026-09-02,100,100
2026,8,486290,TIGER 미국나스닥100타겟데일리커버드콜,2026-08-31,2026-09-02,132,132
2026,8,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,2026-08-14,2026-08-19,150,150
2026,8,496080,TIGER 코리아밸류업,2026-08-31,2026-09-02,28,28
2026,8,499660,TIGER CD금리플러스액티브(합성),2026-08-31,2026-09-02,2400,2400
2026,7,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),2026-07-31,2026-08-04,95,0
2026,7,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,2026-07-15,2026-07-20,104,104
2026,7,0046A0,TIGER 미국초단기(3개월이하)국채,2026-07-31,2026-08-04,28,28
2026,7,0052D0,TIGER 코리아배당다우존스,2026-07-15,2026-07-20,58,58
2026,7,0053L0,TIGER 차이나휴머노이드로봇,2026-07-31,2026-08-04,38,38
2026,7,0060H0,TIGER 토탈월드스탁액티브,2026-07-31,2026-08-04,52,52
2026,7,0086B0,TIGER 리츠부동산인프라TOP10액티브,2026-07-15,2026-07-20,54,54
2026,7,0086C0,TIGER 리츠부동산인프라10채권혼합액티브,2026-07-15,2026-07-20,28,28
